Table Name:,"1990-95 Basic Table - Male, ANB",,,,,,,,,,,,,,,,,,,,,,,,
96,0.24839,0.27242,0.28031,0.28967,0.31284,0.33944,0.36998,0.40513,0.44565,0.49467,0.55403,0.62605,0.70744,0.79940,0.86336,0.90652,0.93372,0.95239,0.96668,0.97635,0.98123,0.98614,0.99107,0.99602,1.00000
97,0.27242,0.28031,0.28967,0.31284,0.33944,0.36998,0.40513,0.44565,0.49467,0.55403,0.62605,0.70744,0.79940,0.86336,0.90652,0.93372,0.95239,0.96668,0.97635,0.98123,0.98614,0.99107,0.99602,1.00000,0.00000
98,0.28031,0.28967,0.31284,0.33944,0.36998,0.40513,0.44565,0.49467,0.55403,0.62605,0.70744,0.79940,0.86336,0.90652,0.93372,0.95239,0.96668,0.97635,0.98123,0.98614,0.99107,0.99602,1.00000,0.00000,0.00000
99,0.28967,0.31284,0.33944,0.36998,0.40513,0.44565,0.49467,0.55403,0.62605,0.70744,0.79940,0.86336,0.90652,0.93372,0.95239,0.96668,0.97635,0.98123,0.98614,0.99107,0.99602,1.00000,0.00000,0.00000,0.00000

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,1990-95 Basic Table – Male. Basis: Age Nearest Birthday. Minimum Ultimate Age: 25. Maximum Ultimate Age: 124.,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",25,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",124,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00095,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00100,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00107,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00118,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00135,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00142,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00151,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00157,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00165,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00175,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00186,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00194,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00206,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00212,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00220,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00223,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00221,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00218,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00220,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00229,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00242,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00258,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00275,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00289,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00306,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00332,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00366,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00408,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00459,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00518,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00587,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00658,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00734,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00796,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00867,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00953,,,,,,,,,,,,,,,,,,,,,,,,
61,0.01062,,,,,,,,,,,,,,,,,,,,,,,,
62,0.01196,,,,,,,,,,,,,,,,,,,,,,,,
63,0.01345,,,,,,,,,,,,,,,,,,,,,,,,
64,0.01501,,,,,,,,,,,,,,,,,,,,,,,,
65,0.01665,,,,,,,,,,,,,,,,,,,,,,,,
66,0.01827,,,,,,,,,,,,,,,,,,,,,,,,
67,0.01990,,,,,,,,,,,,,,,,,,,,,,,,
68,0.02166,,,,,,,,,,,,,,,,,,,,,,,,
69,0.02344,,,,,,,,,,,,,,,,,,,,,,,,
70,0.02557,,,,,,,,,,,,,,,,,,,,,,,,
71,0.02795,,,,,,,,,,,,,,,,,,,,,,,,
72,0.03063,,,,,,,,,,,,,,,,,,,,,,,,
73,0.03357,,,,,,,,,,,,,,,,,,,,,,,,
74,0.03681,,,,,,,,,,,,,,,,,,,,,,,,
75,0.04015,,,,,,,,,,,,,,,,,,,,,,,,
76,0.04409,,,,,,,,,,,,,,,,,,,,,,,,
77,0.04883,,,,,,,,,,,,,,,,,,,,,,,,
78,0.05407,,,,,,,,,,,,,,,,,,,,,,,,
79,0.05995,,,,,,,,,,,,,,,,,,,,,,,,
80,0.06619,,,,,,,,,,,,,,,,,,,,,,,,
81,0.07284,,,,,,,,,,,,,,,,,,,,,,,,
82,0.07943,,,,,,,,,,,,,,,,,,,,,,,,
83,0.08624,,,,,,,,,,,,,,,,,,,,,,,,
84,0.09436,,,,,,,,,,,,,,,,,,,,,,,,
85,0.10401,,,,,,,,,,,,,,,,,,,,,,,,
86,0.11570,,,,,,,,,,,,,,,,,,,,,,,,
87,0.12797,,,,,,,,,,,,,,,,,,,,,,,,
88,0.14020,,,,,,,,,,,,,,,,,,,,,,,,
89,0.15199,,,,,,,,,,,,,,,,,,,,,,,,
90,0.16371,,,,,,,,,,,,,,,,,,,,,,,,
91,0.17782,,,,,,,,,,,,,,,,,,,,,,,,
92,0.19353,,,,,,,,,,,,,,,,,,,,,,,,
93,0.21345,,,,,,,,,,,,,,,,,,,,,,,,
94,0.23423,,,,,,,,,,,,,,,,,,,,,,,,
95,0.25253,,,,,,,,,,,,,,,,,,,,,,,,
96,0.26709,,,,,,,,,,,,,,,,,,,,,,,,
97,0.27242,,,,,,,,,,,,,,,,,,,,,,,,
98,0.28031,,,,,,,,,,,,,,,,,,,,,,,,
99,0.28967,,,,,,,,,,,,,,,,,,,,,,,,
100,0.31284,,,,,,,,,,,,,,,,,,,,,,,,
101,0.33944,,,,,,,,,,,,,,,,,,,,,,,,
102,0.36998,,,,,,,,,,,,,,,,,,,,,,,,
103,0.40513,,,,,,,,,,,,,,,,,,,,,,,,
104,0.44565,,,,,,,,,,,,,,,,,,,,,,,,
105,0.49467,,,,,,,,,,,,,,,,,,,,,,,,
106,0.55403,,,,,,,,,,,,,,,,,,,,,,,,
107,0.62605,,,,,,,,,,,,,,,,,,,,,,,,
108,0.70744,,,,,,,,,,,,,,,,,,,,,,,,
109,0.79940,,,,,,,,,,,,,,,,,,,,,,,,
110,0.86336,,,,,,,,,,,,,,,,,,,,,,,,
111,0.90652,,,,,,,,,,,,,,,,,,,,,,,,
112,0.93372,,,,,,,,,,,,,,,,,,,,,,,,
113,0.95239,,,,,,,,,,,,,,,,,,,,,,,,
114,0.96668,,,,,,,,,,,,,,,,,,,,,,,,
115,0.97635,,,,,,,,,,,,,,,,,,,,,,,,
116,0.98123,,,,,,,,,,,,,,,,,,,,,,,,
117,0.98614,,,,,,,,,,,,,,,,,,,,,,,,
118,0.99107,,,,,,,,,,,,,,,,,,,,,,,,
119,0.99602,,,,,,,,,,,,,,,,,,,,,,,,
120,0.99999,,,,,,,,,,,,,,,,,,,,,,,,
121,0.99999,,,,,,,,,,,,,,,,,,,,,,,,
122,0.99999,,,,,,,,,,,,,,,,,,,,,,,,
123,0.99999,,,,,,,,,,,,,,,,,,,,,,,,
124,0.99999,,,,,,,,,,,,,,,,,,,,,,,,
